metro_nonmetro,year,county_name,state_abbr,geoId,value
Nonmetropolitan,2010,Adams County,IL,us-il-001,78.67
Nonmetropolitan,2010,Brown County,IL,us-il-009,78.89
Nonmetropolitan,2010,Bureau County,IL,us-il-011,79.31
Nonmetropolitan,2010,Carroll County,IL,us-il-015,78.9
Nonmetropolitan,2010,Cass County,IL,us-il-017,77.36
Nonmetropolitan,2010,Christian County,IL,us-il-021,77.9
Nonmetropolitan,2010,Clark County,IL,us-il-023,77.49
Nonmetropolitan,2010,Clay County,IL,us-il-025,77.46
Nonmetropolitan,2010,Coles County,IL,us-il-029,78.11
Nonmetropolitan,2010,Crawford County,IL,us-il-033,77.72
Nonmetropolitan,2010,Cumberland County,IL,us-il-035,78.76
Nonmetropolitan,2010,Douglas County,IL,us-il-041,78.88
Nonmetropolitan,2010,Edgar County,IL,us-il-045,77.26
Nonmetropolitan,2010,Edwards County,IL,us-il-047,77.51
Nonmetropolitan,2010,Effingham County,IL,us-il-049,78.95
Nonmetropolitan,2010,Fayette County,IL,us-il-051,78.63
Nonmetropolitan,2010,Franklin County,IL,us-il-055,75.36
Nonmetropolitan,2010,Fulton County,IL,us-il-057,78.03
Nonmetropolitan,2010,Gallatin County,IL,us-il-059,75.38
Nonmetropolitan,2010,Greene County,IL,us-il-061,77.62
Nonmetropolitan,2010,Hamilton County,IL,us-il-065,77.76
Nonmetropolitan,2010,Hancock County,IL,us-il-067,79.75
Nonmetropolitan,2010,Hardin County,IL,us-il-069,75.35
Nonmetropolitan,2010,Henderson County,IL,us-il-071,78.61
Nonmetropolitan,2010,Iroquois County,IL,us-il-075,77.64
Nonmetropolitan,2010,Jasper County,IL,us-il-079,79.05
Nonmetropolitan,2010,Jefferson County,IL,us-il-081,77.27
Nonmetropolitan,2010,Jo Daviess County,IL,us-il-085,80.74
Nonmetropolitan,2010,Johnson County,IL,us-il-087,78.1
Nonmetropolitan,2010,Knox County,IL,us-il-095,77.62
Nonmetropolitan,2010,LaSalle County,IL,us-il-099,78.06
Nonmetropolitan,2010,Lawrence County,IL,us-il-101,76.14
Nonmetropolitan,2010,Lee County,IL,us-il-103,78.31
Nonmetropolitan,2010,Livingston County,IL,us-il-105,78.06
Nonmetropolitan,2010,Logan County,IL,us-il-107,78.43
Nonmetropolitan,2010,Marion County,IL,us-il-121,76.44
Nonmetropolitan,2010,Mason County,IL,us-il-125,77.32
Nonmetropolitan,2010,Massac County,IL,us-il-127,75.89
Nonmetropolitan,2010,McDonough County,IL,us-il-109,79.63
Nonmetropolitan,2010,Montgomery County,IL,us-il-135,77.89
Nonmetropolitan,2010,Morgan County,IL,us-il-137,78.36
Nonmetropolitan,2010,Moultrie County,IL,us-il-139,78.14
Nonmetropolitan,2010,Ogle County,IL,us-il-141,79.57
Nonmetropolitan,2010,Perry County,IL,us-il-145,77.45
Nonmetropolitan,2010,Pike County,IL,us-il-149,78.55
Nonmetropolitan,2010,Pope County,IL,us-il-151,78.04
Nonmetropolitan,2010,Pulaski County,IL,us-il-153,74.77
Nonmetropolitan,2010,Putnam County,IL,us-il-155,79.74
Nonmetropolitan,2010,Randolph County,IL,us-il-157,77.8
Nonmetropolitan,2010,Richland County,IL,us-il-159,78.12
Nonmetropolitan,2010,Saline County,IL,us-il-165,74.87
Nonmetropolitan,2010,Schuyler County,IL,us-il-169,78.72
Nonmetropolitan,2010,Scott County,IL,us-il-171,78.74
Nonmetropolitan,2010,Shelby County,IL,us-il-173,79.73
Nonmetropolitan,2010,Stephenson County,IL,us-il-177,79.49
Nonmetropolitan,2010,Union County,IL,us-il-181,76.63
Nonmetropolitan,2010,Wabash County,IL,us-il-185,78.21
Nonmetropolitan,2010,Warren County,IL,us-il-187,78.47
Nonmetropolitan,2010,Washington County,IL,us-il-189,78.92
Nonmetropolitan,2010,Wayne County,IL,us-il-191,78.05
Nonmetropolitan,2010,White County,IL,us-il-193,76.87
Nonmetropolitan,2010,Whiteside County,IL,us-il-195,78.77
Nonmetropolitan,2014,Adams County,IL,us-il-001,78.7
Nonmetropolitan,2014,Brown County,IL,us-il-009,79.09
Nonmetropolitan,2014,Bureau County,IL,us-il-011,79.49
Nonmetropolitan,2014,Carroll County,IL,us-il-015,79.06
Nonmetropolitan,2014,Cass County,IL,us-il-017,77.23
Nonmetropolitan,2014,Christian County,IL,us-il-021,77.92
Nonmetropolitan,2014,Clark County,IL,us-il-023,77.36
Nonmetropolitan,2014,Clay County,IL,us-il-025,77.51
Nonmetropolitan,2014,Coles County,IL,us-il-029,78.42
Nonmetropolitan,2014,Crawford County,IL,us-il-033,77.78
Nonmetropolitan,2014,Cumberland County,IL,us-il-035,78.8
Nonmetropolitan,2014,Douglas County,IL,us-il-041,78.85
Nonmetropolitan,2014,Edgar County,IL,us-il-045,77.33
Nonmetropolitan,2014,Edwards County,IL,us-il-047,77.46
Nonmetropolitan,2014,Effingham County,IL,us-il-049,79.01
Nonmetropolitan,2014,Fayette County,IL,us-il-051,78.76
Nonmetropolitan,2014,Franklin County,IL,us-il-055,75.28
Nonmetropolitan,2014,Fulton County,IL,us-il-057,77.84
